Person 1:
[[924.632, 530.229], [874.689, 533.202]],
[[921.728, 530.372], [874.67, 533.202]],
[[921.764, 533.207], [874.676, 533.177]],
[[921.767, 533.235], [877.511, 533.182]],
[[921.706, 533.334], [877.519, 533.169]],
[[921.757, 533.29], [877.509, 530.429]],
[[924.584, 533.279], [877.527, 530.433]],
[[924.621, 533.295], [877.546, 533.18]],
[[924.627, 533.296], [877.575, 530.439]],
[[924.654, 533.254], [877.595, 530.399]],
[[924.695, 533.276], [877.608, 530.415]],
[[924.7, 533.283], [880.463, 530.433]],
[[927.538, 533.217], [880.461, 530.38]],
[[927.555, 533.242], [880.477, 530.341]],
[[927.566, 533.28], [880.412, 530.265]],
[[927.573, 533.317], [880.436, 530.303]],
[[927.596, 536.15], [880.469, 530.334]],
[[927.603, 536.175], [880.446, 530.33]],
[[927.624, 536.168], [880.461, 530.27]],
[[927.684, 533.29], [880.472, 530.196]],
[[927.677, 533.3], [880.48, 530.199]],
[[927.656, 533.252], [880.464, 530.189]],
[[927.659, 533.238], [880.433, 530.189]],
[[927.65, 533.232], [880.435, 530.201]],
[[927.634, 533.177], [880.501, 530.178]],
[[927.642, 530.421], [880.503, 530.166]],
[[927.648, 530.417], [880.48, 530.168]],
[[927.645, 530.42], [880.471, 530.166]],
[[927.65, 530.413], [880.447, 530.201]],
[[927.665, 530.393], [880.425, 530.199]],
[[927.702, 530.41], [880.435, 530.206]],
[[927.708, 530.416], [880.404, 530.213]],
[[927.669, 530.382], [880.422, 530.236]],
[[930.596, 530.243], [880.401, 530.208]],
[[939.431, 527.456], [880.449, 530.265]],
[[951.248, 530.265], [880.426, 530.237]],
[[954.18, 530.293], [880.379, 530.238]],
[[974.794, 533.183], [880.388, 530.241]],
[[977.603, 530.333], [880.417, 530.182]],
[[977.561, 530.411], [877.641, 527.464]],
[[977.616, 530.433], [883.485, 527.411]],
[[977.601, 530.412], [886.377, 527.389]],
[[977.633, 533.196], [886.438, 527.331]],
[[977.64, 533.184], [886.486, 527.376]],
[[980.576, 530.447], [886.439, 527.29]],
[[977.804, 530.412], [886.458, 527.255]],
[[980.611, 527.375], [895.201, 524.371]],
[[986.451, 530.187], [904.124, 524.362]],
[[998.162, 530.235], [910.016, 524.35]],
[[1007.09, 527.432], [918.821, 527.378]],
[[1024.66, 530.213], [927.725, 527.448]],
[[1030.72, 530.202], [930.569, 527.427]],
[[1042.32, 530.409], [933.566, 527.37]],
[[1045.43, 533.182], [933.559, 527.364]],
[[1048.25, 533.233], [933.53, 527.388]],
[[1048.34, 533.263], [930.705, 527.247]],
[[1054.2, 547.854], [936.505, 524.423]],
[[1054.23, 542.035], [974.572, 524.313]],
[[1065.82, 539.059], [998.201, 530.295]],
[[1068.84, 533.221], [1039.49, 530.26]],
[[1092.37, 533.267], [1068.9, 544.987]],
[[1095.33, 547.887], [1071.87, 550.961]],
[[1104.26, 553.954], [1048.34, 565.58]],
[[1133.69, 553.935], [0, 0]],
[[1160.07, 568.546], [0, 0]],
[[1183.58, 571.476], [0, 0]],
[[1189.59, 574.297], [0, 0]],
[[1192.66, 580.3], [0, 0]],
[[1210.09, 592.113], [0, 0]],
[[1210.22, 595.038], [0, 0]],
[[1210.17, 597.841], [0, 0]],
[[1210.21, 595.078], [1092.52, 556.756]],
[[1210.2, 594.983], [0, 0]],
[[1210.28, 594.934], [1104.2, 551.018]],
[[1210.29, 594.939], [1113.07, 550.976]],
[[1213.08, 594.984], [1113.06, 550.943]],
[[1210.3, 594.974], [1107.19, 550.964]],
[[1210.2, 594.954], [1101.22, 550.966]],
[[1210.24, 592.104], [1095.46, 550.972]],
[[1210.03, 583.281], [1092.33, 547.964]],
[[1192.56, 580.328], [1068.91, 571.534]],
[[1186.64, 574.44], [1071.93, 568.582]],
